"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"e:\Coding\Gekko\bot.js", "JavaScript", 0, 353, 9, 67, 429
"e:\Coding\Gekko\commands\admin\allow-nsfw.js", "JavaScript", 0, 135, 0, 27, 162
"e:\Coding\Gekko\commands\admin\disallow-nsfw.js", "JavaScript", 0, 62, 0, 5, 67
"e:\Coding\Gekko\commands\admin\resetPrefix.js", "JavaScript", 0, 52, 0, 7, 59
"e:\Coding\Gekko\commands\admin\set-joinRole.js", "JavaScript", 0, 69, 0, 10, 79
"e:\Coding\Gekko\commands\admin\set-lockdownChannels.js", "JavaScript", 0, 73, 0, 12, 85
"e:\Coding\Gekko\commands\admin\set-logging.js", "JavaScript", 0, 171, 0, 29, 200
"e:\Coding\Gekko\commands\admin\set-prefix.js", "JavaScript", 0, 52, 0, 7, 59
"e:\Coding\Gekko\commands\admin\set-welcome.js", "JavaScript", 0, 120, 5, 23, 148
"e:\Coding\Gekko\commands\anime\anime-character.js", "JavaScript", 0, 71, 0, 8, 79
"e:\Coding\Gekko\commands\anime\anime-info.js", "JavaScript", 0, 145, 0, 13, 158
"e:\Coding\Gekko\commands\anime\anime-quotes.js", "JavaScript", 0, 70, 0, 8, 78
"e:\Coding\Gekko\commands\anime\hug.js", "JavaScript", 0, 56, 0, 6, 62
"e:\Coding\Gekko\commands\anime\waifu.js", "JavaScript", 0, 60, 0, 15, 75
"e:\Coding\Gekko\commands\economy\blackjack.js", "JavaScript", 0, 26, 0, 2, 28
"e:\Coding\Gekko\commands\economy\set-cash-amount.js", "JavaScript", 0, 38, 0, 7, 45
"e:\Coding\Gekko\commands\economy\slots.js", "JavaScript", 0, 26, 0, 2, 28
"e:\Coding\Gekko\commands\economy\toggle-economy.js", "JavaScript", 0, 52, 0, 12, 64
"e:\Coding\Gekko\commands\fun\8ball.js", "JavaScript", 0, 55, 0, 6, 61
"e:\Coding\Gekko\commands\fun\dice.js", "JavaScript", 0, 57, 0, 7, 64
"e:\Coding\Gekko\commands\fun\gif.js", "JavaScript", 0, 55, 0, 9, 64
"e:\Coding\Gekko\commands\fun\meme.js", "JavaScript", 0, 59, 0, 10, 69
"e:\Coding\Gekko\commands\fun\quote.js", "JavaScript", 0, 73, 0, 8, 81
"e:\Coding\Gekko\commands\fun\weather.js", "JavaScript", 0, 75, 0, 13, 88
"e:\Coding\Gekko\commands\games\chess.js", "JavaScript", 0, 30, 1, 5, 36
"e:\Coding\Gekko\commands\games\connect4.js", "JavaScript", 0, 54, 0, 4, 58
"e:\Coding\Gekko\commands\games\guess-the-logo.js", "JavaScript", 0, 76, 0, 10, 86
"e:\Coding\Gekko\commands\games\minesweeper.js", "JavaScript", 0, 44, 0, 4, 48
"e:\Coding\Gekko\commands\games\snake.js", "JavaScript", 0, 52, 0, 4, 56
"e:\Coding\Gekko\commands\games\tetris.js", "JavaScript", 0, 65, 2, 14, 81
"e:\Coding\Gekko\commands\games\tic-tac-toe.js", "JavaScript", 0, 55, 0, 4, 59
"e:\Coding\Gekko\commands\games\whats-that-pokemon.js", "JavaScript", 0, 40, 0, 5, 45
"e:\Coding\Gekko\commands\games\wordle.js", "JavaScript", 0, 43, 0, 4, 47
"e:\Coding\Gekko\commands\general\bug-report.js", "JavaScript", 0, 85, 0, 12, 97
"e:\Coding\Gekko\commands\general\current-prefix.js", "JavaScript", 0, 33, 0, 5, 38
"e:\Coding\Gekko\commands\general\gekkoSlash.js", "JavaScript", 0, 63, 0, 9, 72
"e:\Coding\Gekko\commands\general\helpSlash.js", "JavaScript", 0, 182, 0, 24, 206
"e:\Coding\Gekko\commands\general\pingSlash.js", "JavaScript", 0, 34, 0, 3, 37
"e:\Coding\Gekko\commands\giveaway\giveaway.js", "JavaScript", 0, 81, 0, 15, 96
"e:\Coding\Gekko\commands\moderation\ban.js", "JavaScript", 0, 99, 0, 10, 109
"e:\Coding\Gekko\commands\moderation\create-embed.js", "JavaScript", 0, 73, 0, 8, 81
"e:\Coding\Gekko\commands\moderation\giveRole.js", "JavaScript", 0, 99, 0, 13, 112
"e:\Coding\Gekko\commands\moderation\kick.js", "JavaScript", 0, 98, 0, 13, 111
"e:\Coding\Gekko\commands\moderation\lock.js", "JavaScript", 0, 102, 0, 11, 113
"e:\Coding\Gekko\commands\moderation\lockdownEnd.js", "JavaScript", 0, 101, 0, 12, 113
"e:\Coding\Gekko\commands\moderation\lockdownStart.js", "JavaScript", 0, 101, 0, 14, 115
"e:\Coding\Gekko\commands\moderation\mute.js", "JavaScript", 0, 56, 40, 15, 111
"e:\Coding\Gekko\commands\moderation\purge.js", "JavaScript", 0, 113, 0, 12, 125
"e:\Coding\Gekko\commands\moderation\removeRole.js", "JavaScript", 0, 83, 0, 10, 93
"e:\Coding\Gekko\commands\moderation\unlock.js", "JavaScript", 0, 95, 0, 11, 106
"e:\Coding\Gekko\commands\tickets\ticket-setup.js", "JavaScript", 0, 60, 0, 12, 72
"e:\Coding\Gekko\config.js", "JavaScript", 0, 58, 0, 7, 65
"e:\Coding\Gekko\delete-commands.js", "JavaScript", 0, 4, 3, 3, 10
"e:\Coding\Gekko\deploy-commands.js", "JavaScript", 0, 33, 3, 10, 46
"e:\Coding\Gekko\events\guildCreate.js", "JavaScript", 0, 62, 0, 8, 70
"e:\Coding\Gekko\events\guildDelete.js", "JavaScript", 0, 30, 0, 5, 35
"e:\Coding\Gekko\events\guildJoin.js", "JavaScript", 0, 72, 5, 16, 93
"e:\Coding\Gekko\events\guildLeave.js", "JavaScript", 0, 7, 0, 2, 9
"e:\Coding\Gekko\events\interactionCreate.js", "JavaScript", 0, 180, 1, 39, 220
"e:\Coding\Gekko\events\inviteCreate.js", "JavaScript", 0, 9, 0, 2, 11
"e:\Coding\Gekko\events\messageLogging.js", "JavaScript", 0, 8, 0, 1, 9
"e:\Coding\Gekko\events\ready.js", "JavaScript", 0, 58, 0, 9, 67
"e:\Coding\Gekko\events\roleAssignment.js", "JavaScript", 0, 26, 0, 4, 30
"e:\Coding\Gekko\models\chessGame.js", "JavaScript", 0, 3, 0, 1, 4
"e:\Coding\Gekko\models\colors.js", "JavaScript", 0, 7, 1, 0, 8
"e:\Coding\Gekko\models\emoji.js", "JavaScript", 0, 13, 0, 0, 13
"e:\Coding\Gekko\models\game.js", "JavaScript", 0, 0, 0, 1, 1
"e:\Coding\Gekko\models\lichessAPI.js", "JavaScript", 0, 15, 0, 3, 18
"e:\Coding\Gekko\models\logos.js", "JavaScript", 0, 18, 0, 0, 18
"e:\Coding\Gekko\models\mysql.js", "JavaScript", 0, 283, 163, 51, 497
"e:\Coding\Gekko\models\quotes.js", "JavaScript", 0, 526, 0, 5, 531
"e:\Coding\Gekko\package-lock.json", "JSON", 1426, 0, 0, 1, 1427
"e:\Coding\Gekko\package.json", "JSON", 12, 0, 0, 1, 13
"Total", "-", 1438, 5434, 233, 745, 7850
